# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Standard Edition
# File: /home/mc2/DT/DE_10_lite_CD/Demonstrations/Golden_Top/DE10_LITE_Golden_Top.csv
# Generated on: Fri Jul 12 16:25:49 2019
# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.
#
# Modified 13/7/2019 Hans Gelke added non vector pin syntax
#
To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
SW_0,Unknown,PIN_C10,7,B7_N0,3.3-V LVTTL,,,,,
SW_1,Unknown,PIN_C11,7,B7_N0,3.3-V LVTTL,,,,,
SW_2,Unknown,PIN_D12,7,B7_N0,3.3-V LVTTL,,,,,
SW_3,Unknown,PIN_C12,7,B7_N0,3.3-V LVTTL,,,,,
SW_4,Unknown,PIN_A12,7,B7_N0,3.3-V LVTTL,,,,,
SW_5,Unknown,PIN_B12,7,B7_N0,3.3-V LVTTL,,,,,
SW_6,Unknown,PIN_A13,7,B7_N0,3.3-V LVTTL,,,,,
SW_7,Unknown,PIN_A14,7,B7_N0,3.3-V LVTTL,,,,,
SW_8,Unknown,PIN_B14,7,B7_N0,3.3-V LVTTL,,,,,
SW_9,Unknown,PIN_F15,7,B7_N0,3.3-V LVTTL,,,,,
VGA_B_0,Unknown,PIN_P1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_B_1,Unknown,PIN_T1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_B_2,Unknown,PIN_P4,2,B2_N0,3.3-V LVTTL,,,,,
VGA_B_3,Unknown,PIN_N2,2,B2_N0,3.3-V LVTTL,,,,,
VGA_G_0,Unknown,PIN_W1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_G_1,Unknown,PIN_T2,2,B2_N0,3.3-V LVTTL,,,,,
VGA_G_2,Unknown,PIN_R2,2,B2_N0,3.3-V LVTTL,,,,,
VGA_G_3,Unknown,PIN_R1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_HS,Unknown,PIN_N3,2,B2_N0,3.3-V LVTTL,,,,,
VGA_R_0,Unknown,PIN_AA1,3,B3_N0,3.3-V LVTTL,,,,,
VGA_R_1,Unknown,PIN_V1,2,B2_N0,3.3-V LVTTL,,,,,
VGA_R_2,Unknown,PIN_Y2,3,B3_N0,3.3-V LVTTL,,,,,
VGA_R_3,Unknown,PIN_Y1,3,B3_N0,3.3-V LVTTL,,,,,
VGA_VS,Unknown,PIN_N1,2,B2_N0,3.3-V LVTTL,,,,,
GSENSOR_CS_N,Unknown,PIN_AB16,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_INT_1,Unknown,PIN_Y14,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_INT_2,Unknown,PIN_Y13,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_SCLK,Unknown,PIN_AB15,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_SDI,Unknown,PIN_V11,4,B4_N0,3.3-V LVTTL,,,,,
GSENSOR_SDO,Unknown,PIN_V12,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_0,Unknown,PIN_AB5,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_1,Unknown,PIN_AB6,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_2,Unknown,PIN_AB7,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_3,Unknown,PIN_AB8,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_4,Unknown,PIN_AB9,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_5,Unknown,PIN_Y10,3,B3_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_6,Unknown,PIN_AA11,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_7,Unknown,PIN_AA12,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_8,Unknown,PIN_AB17,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_9,Unknown,PIN_AA17,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_10,Unknown,PIN_AB19,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_11,Unknown,PIN_AA19,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_12,Unknown,PIN_Y19,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_13,Unknown,PIN_AB20,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_14,Unknown,PIN_AB21,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_IO_15,Unknown,PIN_AA20,4,B4_N0,3.3-V LVTTL,,,,,
ARDUINO_RESET_N,Unknown,PIN_F16,7,B7_N0,3.3 V Schmitt Trigger,,,,,
GPIO_0,Unknown,PIN_V10,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_1,Unknown,PIN_W10,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_2,Unknown,PIN_V9,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_3,Unknown,PIN_W9,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_4,Unknown,PIN_V8,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_5,Unknown,PIN_W8,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_6,Unknown,PIN_V7,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_7,Unknown,PIN_W7,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_8,Unknown,PIN_W6,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_9,Unknown,PIN_V5,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_10,Unknown,PIN_W5,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_11,Unknown,PIN_AA15,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_12,Unknown,PIN_AA14,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_13,Unknown,PIN_W13,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_14,Unknown,PIN_W12,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_15,Unknown,PIN_AB13,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_16,Unknown,PIN_AB12,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_17,Unknown,PIN_Y11,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_18,Unknown,PIN_AB11,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_19,Unknown,PIN_W11,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_20,Unknown,PIN_AB10,4,B4_N0,3.3-V LVTTL,,,,,
GPIO_21,Unknown,PIN_AA10,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_22,Unknown,PIN_AA9,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_23,Unknown,PIN_Y8,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_24,Unknown,PIN_AA8,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_25,Unknown,PIN_Y7,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_26,Unknown,PIN_AA7,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_27,Unknown,PIN_Y6,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_28,Unknown,PIN_AA6,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_29,Unknown,PIN_Y5,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_30,Unknown,PIN_AA5,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_31,Unknown,PIN_Y4,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_32,Unknown,PIN_AB3,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_33,Unknown,PIN_Y3,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_34,Unknown,PIN_AB2,3,B3_N0,3.3-V LVTTL,,,,,
GPIO_35,Unknown,PIN_AA2,3,B3_N0,3.3-V LVTTL,,,,,
AUD_XCK,Unknown,PIN_AB5,3,B3_N0,3.3-V LVTTL,,,,,
AUD_SCLK,Unknown,PIN_AB6,3,B3_N0,3.3-V LVTTL,,,,,
AUD_SDAT,Unknown,PIN_AB7,3,B3_N0,3.3-V LVTTL,,,,,
AUD_DACLRCK,Unknown,PIN_AB8,3,B3_N0,3.3-V LVTTL,,,,,
AUD_DACDAT,Unknown,PIN_AB9,3,B3_N0,3.3-V LVTTL,,,,,
AUD_BCLK,Unknown,PIN_Y10,3,B3_N0,3.3-V LVTTL,,,,,
AUD_ADCDAT,Unknown,PIN_AA11,4,B4_N0,3.3-V LVTTL,,,,,
AUD_ADCLRCK,Unknown,PIN_AA12,4,B4_N0,3.3-V LVTTL,,,,,
USB_RXD,Unknown,PIN_AB17,4,B4_N0,3.3-V LVTTL,,,,,
USB_TXD,Unknown,PIN_AA17,4,B4_N0,3.3-V LVTTL,,,,,
BT_RXD,Unknown,PIN_AB19,4,B4_N0,3.3-V LVTTL,,,,,
BT_TXD,Unknown,PIN_AA19,4,B4_N0,3.3-V LVTTL,,,,,
BT_RST_N,Unknown,PIN_Y19,4,B4_N0,3.3-V LVTTL,,,,,
